"filename", "language", "JavaScript", "JSON with Comments", "JSON", "SCSS", "Vue", "HTML", "Markdown", "CSS", "XML", "comment", "blank", "total"
"e:\summerSchool\codes\agricultural\.eslintrc.cjs", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"e:\summerSchool\codes\agricultural\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 14, 36
"e:\summerSchool\codes\agricultural\index.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
"e:\summerSchool\codes\agricultural\jsconfig.json", "JSON with Comments", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 10
"e:\summerSchool\codes\agricultural\package-lock.json", "JSON", 0, 0, 3452, 0, 0, 0, 0, 0, 0, 0, 1, 3453
"e:\summerSchool\codes\agricultural\package.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
"e:\summerSchool\codes\agricultural\src\App.vue", "Vue", 0, 0, 0, 0, 62, 0, 0, 0, 0, 1, 17, 80
"e:\summerSchool\codes\agricultural\src\apis\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\summerSchool\codes\agricultural\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 58, 0, 2, 14, 74
"e:\summerSchool\codes\agricultural\src\assets\font\font.scss", "SCSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 0, 14
"e:\summerSchool\codes\agricultural\src\assets\images\activity.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\summerSchool\codes\agricultural\src\assets\images\clipboard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\summerSchool\codes\agricultural\src\assets\images\credit-card.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\summerSchool\codes\agricultural\src\assets\images\dollar-sign.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\summerSchool\codes\agricultural\src\assets\images\feather.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\summerSchool\codes\agricultural\src\assets\images\link.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\summerSchool\codes\agricultural\src\assets\images\log-out.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\summerSchool\codes\agricultural\src\assets\images\plus-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\summerSchool\codes\agricultural\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\summerSchool\codes\agricultural\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 7, 36
"e:\summerSchool\codes\agricultural\src\global.scss", "SCSS", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"e:\summerSchool\codes\agricultural\src\main.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 26
"e:\summerSchool\codes\agricultural\src\router\index.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 79
"e:\summerSchool\codes\agricultural\src\stores\counter.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\summerSchool\codes\agricultural\src\styles\common.scss", "SCSS", 0, 0, 0, 94, 0, 0, 0, 0, 0, 2, 9, 105
"e:\summerSchool\codes\agricultural\src\styles\element\index.scss", "SCSS", 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 0, 25
"e:\summerSchool\codes\agricultural\src\styles\index.scss", "SCSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\summerSchool\codes\agricultural\src\styles\var.scss", "SCSS", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"e:\summerSchool\codes\agricultural\src\utils\http.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\summerSchool\codes\agricultural\src\views\AnalysisForecast\components\report.vue", "Vue", 0, 0, 0, 0, 778, 0, 0, 0, 0, 21, 26, 825
"e:\summerSchool\codes\agricultural\src\views\AnalysisForecast\index.vue", "Vue", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\summerSchool\codes\agricultural\src\views\DataQuery\components\DailyChart.vue", "Vue", 0, 0, 0, 0, 134, 0, 0, 0, 0, 9, 12, 155
"e:\summerSchool\codes\agricultural\src\views\DataQuery\components\MonthlyChart.vue", "Vue", 0, 0, 0, 0, 134, 0, 0, 0, 0, 9, 11, 154
"e:\summerSchool\codes\agricultural\src\views\DataQuery\components\thirdNav.vue", "Vue", 0, 0, 0, 0, 832, 0, 0, 0, 0, 30, 31, 893
"e:\summerSchool\codes\agricultural\src\views\DataQuery\index.vue", "Vue", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"e:\summerSchool\codes\agricultural\src\views\Home\china.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\summerSchool\codes\agricultural\src\views\Home\index.vue", "Vue", 0, 0, 0, 0, 946, 0, 0, 0, 0, 14, 21, 981
"e:\summerSchool\codes\agricultural\src\views\Layout\components\LayoutFooter.vue", "Vue", 0, 0, 0, 0, 169, 0, 0, 0, 0, 2, 33, 204
"e:\summerSchool\codes\agricultural\src\views\Layout\index.vue", "Vue", 0, 0, 0, 0, 314, 0, 0, 0, 0, 3, 28, 345
"e:\summerSchool\codes\agricultural\src\views\Login\index.vue", "Vue", 0, 0, 0, 0, 317, 0, 0, 0, 0, 7, 16, 340
"e:\summerSchool\codes\agricultural\src\views\MarketInfo\components\NavBar.vue", "Vue", 0, 0, 0, 0, 3086, 0, 0, 0, 0, 88, 50, 3224
"e:\summerSchool\codes\agricultural\src\views\MarketInfo\index.vue", "Vue", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"e:\summerSchool\codes\agricultural\src\views\manager\components\DailyManage.vue", "Vue", 0, 0, 0, 0, 157, 0, 0, 0, 0, 3, 8, 168
"e:\summerSchool\codes\agricultural\src\views\manager\components\ForecastManage.vue", "Vue", 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 7, 203
"e:\summerSchool\codes\agricultural\src\views\manager\components\LinkManage.vue", "Vue", 0, 0, 0, 0, 164, 0, 0, 0, 0, 6, 3, 173
"e:\summerSchool\codes\agricultural\src\views\manager\components\MarketManage.vue", "Vue", 0, 0, 0, 0, 357, 0, 0, 0, 0, 0, 7, 364
"e:\summerSchool\codes\agricultural\src\views\manager\components\VarietyManage.vue", "Vue", 0, 0, 0, 0, 428, 0, 0, 0, 0, 0, 7, 435
"e:\summerSchool\codes\agricultural\src\views\manager\components\WeeklyManage.vue", "Vue", 0, 0, 0, 0, 160, 0, 0, 0, 0, 3, 8, 171
"e:\summerSchool\codes\agricultural\src\views\manager\index.vue", "Vue", 0, 0, 0, 0, 583, 0, 0, 0, 0, 18, 108, 709
"e:\summerSchool\codes\agricultural\vite.config.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 46
"Total", "-", 159, 5, 3486, 139, 8839, 26, 22, 87, 9, 238, 471, 13481